English,Hindi,Original
A black box in your car?,आपकी कार में एक ब्लैक बॉक्स?,आपकी कार में ब्लैक बॉक्स?
"As America's road planners struggle to find the cash to mend a crumbling highway system, many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car.","जैसे ही अमेरिका के सड़क योजनार एक ढही सड़क व्यवस्था को सुधारने के लिए नकदी को खोजने का संघर्ष करते हैं, अनेक लोग एक छोटे काले बॉक्स में समाधान देखने लगे हैं जो आपकी कार के पुल से फिट होता है।","जबकि अमेरिका के सड़क योजनाकार, ध्वस्त होते हुए हाईवे सिस्टम को सुधारने के लिए धन की कमी से जूझ रहे हैं, वहीं बहुत-से लोग इसका समाधान छोटे से ब्लैक बॉक्स में देख रहे हैं, जो आपकी कार के डैशबोर्ड पर सफ़ाई से फिट हो जाता है।"
"The devices, which track every mile a motorist drives and transmit that information to bureaucrats, are at the center of a controversial attempt in Washington and state planning offices to overhaul the outdated system for funding America's major roads.","ये उपकरण, जो हर मील एक मोटर ड्राइव और ट्रांसमीटर को ट्रैक करते हैं, जो कि यूरियास को सूचना देते हैं, वे वॉशिंगटन और राज्य योजना कार्यालयों में एक विवादपूर्ण प्रयास के केंद्र पर हैं, जो अमेरिका के प्रमुख रास्तों को खरीदने के लिए लोकप्रिय प्रणाली को बढ़ावा देते हैं।","यह डिवाइस, जो मोटर-चालक द्वारा वाहन चलाए गए प्रत्येक मील को ट्रैक करती है तथा उस सूचना को अधिकारियों को संचारित करती है, आजकल अमेरिका की प्रमुख सड़कों का वित्त-पोषण करने के लिए पुराने हो चुके सिस्टम का जीर्णोद्धार करने के लिए वाशिंगटन और राज्य नियोजन कार्यालय के लिए एक विवादास्पद प्रयास का मुद्दा बन चुका है।"
The usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances.,आमतौर पर सड़क योजना का कठोर अखाड़ा अचानक भारी बहस और रंगीन संबंधों की कमी पैदा करता है।,आम तौर पर हाईवे नियोजन जैसा उबाऊ काम भी अचानक गहन बहस तथा जीवंत गठबंधनों का मुद्दा बन गया है।
"Libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive, and possibly where you drive them - then use the information to draw up a tax bill.","लिबर्टी ने पर्यावरण समूहों से जुड़ने के लिए सरकार का उपयोग करने की अनुमति दी है ताकि आप उन मीलों के ट्रैक का उपयोग कर सकें, और संभवत: जहां आप उन्हें ड्राइव करते हैं - तब कर बिल भरने के लिए सूचना का उपयोग करें।","आपने द्वारा ड्राइव किए गए मील, तथा संभवतः ड्राइव किए गए स्थान का विवरण रखने - और फिर इस सूचना का उपयोग टैक्स बिल तैयार करने के लिए - सरकार को इन ब्लैक बॉक्स का उपयोग करने की अनुमति देने के पक्ष में समर्थन जुटाने के लिए लिबरेटेरियन पर्यावरणीय समूहों के साथ मिल गए हैं।"
The tea party is aghast.,चाय पार्टी कम हो गई है।,चाय पार्टी भौचक्की है।
"The American Civil Liberties Union is deeply concerned, too, raising a variety of privacy issues.",अमेरिकी नागरिक संरक्षण संघ भी कई प्रकार की निजी मुद्दों का पालन करता है।,अमेरिकी नागरिक स्वतंत्रता संघ भी विभिन्न प्रकार के गोपनीयता मुद्दे उठाते हुए बहुत चिंतित है।
"And while Congress can't agree on whether to proceed, several states are not waiting.","और जबकि कांग्रेस आगे बढ़ने पर सहमत नहीं हो सकता, कई राज्य इंतजार नहीं कर रहे हैं।","जबकि कांग्रेस इस बात पर सहमत नहीं हो सकी कि आगे की कार्यवाही करनी है या नहीं, बहुत से राज्य प्रतीक्षा नहीं कर रहे।"
"They are exploring how, over the next decade, they can move to a system in which drivers pay per mile of road they roll over.","वे खोज कर रहे हैं कि अगले दशक में, वे एक ऐसी प्रणाली की ओर बढ़ सकते हैं जिसमें वे सड़क पर हर मील का भुगतान करते हैं।","वे यह खोज कर रहे हैं कि अगले दशक में वे किस तरह से ऐसी प्रणाली में जा सकते हैं, जिसमें चालक सड़क पर तय किए गए प्रत्येक मील के लिए भुगतान करे।"
"Thousands of motorists have already taken the black boxes, some of which have GPS monitoring, for a test drive.","हजारों मोटरवासियों ने पहले से ही काले बक्से ले लिए हैं, जिनमें से कुछ के पास अवतार निगरानी है, एक परीक्षा ड्राइव के लिए।","हजारों मोटर-चालकों ने टेस्ट ड्राइव के लिए पहले ही ब्लैक बॉक्स ले लिया है, जिसमें से कुछ में जी.पी.एस. मॉनीटरिंग है।"
This really is a must for our nation.,यह वास्तव में हमारी जाति के लिए एक होना चाहिए।,यह हमारे देश के लिए वास्तव में अनिवार्य वस्तु है।
"""It is not a matter of something we might choose to do,"" said Hasan Ikhrata, executive director of the Southern California Assn. of Governments, which is planning for the state to start tracking miles driven by every California motorist by 2025.","""""यह कुछ भी करने के लिए हम चुन सकते हैं,"" कहा जाता है, दक्षिण कैलिफ़ोर्निया के अधिकारी है, जो 2025 के माध्यम से हर कैलिफ़ोर्निया द्वारा संचालित राज्य के लिए योजना बना रहा है।","""यह हमारे द्वारा चुने या नहीं चुने जाने का विषय नहीं है"" यह कहना है हसन इखराता का जो दक्षिण कैलीफोर्निया सरकार संघ के कार्यकारी निदेशक हैं, जो वर्ष 2025 तक कैलीफोर्निया में मोटर-चालकों द्वारा तय किए गए प्रत्येक मील को ट्रैक करने की शुरुआत करने की योजना बना रहा है।"
There is going to be a change in how we pay these taxes.,"हम इन करों को कैसे भुगतान करते हैं, इस में एक परिवर्तन होने जा रहा है।",हमारे द्वारा कर भुगतान किए जाने के तरीके में परिवर्तन होने जा रहा है।
The technology is there to do it.,प्रौद्योगिकी इसे करने के लिए है।,ऐसा करने के लिए प्रौद्योगिकी है।
"The push comes as the country's Highway Trust Fund, financed with taxes Americans pay at the gas pump, is broke.","जब देश के उच्च राजमार्ग ट्रस्ट निधि के रूप में आता है, जो कि गैस पंप पर कर अदा कर चुका है, तो धक्का टूट जाता है।","ऐसा होने का मुख्य कारण यह है कि देश का हाईवे ट्रस्ट फ़ंड लगभग दिवालिया हो गया है, जिसका वित्त-पोषण अमेरिकी नागरिकों द्वारा गैस पम्प पर किए जाने वाले करों के भुगतान से होता है।"
Americans don't buy as much gas as they used to.,अमेरिकी उतना ज्यादा गैस नहीं खरीदते जितना वे करते थे।,अमेरिकी लोग अब पहले जितनी गैस नहीं खरीदते।
Cars get many more miles to the gallon.,टन से कई मील की दूरी पर कार होती है।,अब एक गैलन गैस में कार पहले से अधिक मील चलती है।
"The federal tax itself, 18.4 cents per gallon, hasn't gone up in 20 years.","संघ कर अपने आप में, 18.4 सेंट प्रति टन, 20 साल में नहीं गया है।","फेडरल टैक्स में पिछले 20 वर्षों में कोई बढ़ोतरी नहीं हुई, जो 18.4 सेंट प्रति गैलन है।"
Politicians are loath to raise the tax even one penny when gas prices are high.,जब गैस की कीमत ज्यादा होती है तो कर को भी बढ़ाने के लिए पोलीदी जाती है।,गैस के उच्च मूल्य होने के कारण राजनेता टैक्स में एक पैसा भी वृद्धि करने से परहेज करते हैं।
"""The gas tax is just not sustainable,"" said Lee Munnich, a transportation policy expert at the University of Minnesota.","""""जल कर्स ने कहा कि केवल स्थायी नहीं है,"" ली एमननीट ने कहा, मिन्‍द्र विश्‍वविद्यालय में परिवहन नीति विशेषज्ञ।","मिनेसोटा विश्वविद्यालय में परिवहन नीति विशेषज्ञ ली मुनिख कहते हैं, ""गैस कर बिल्कुल संवहनीय नहीं है।"""
His state recently put tracking devices on 500 cars to test out a pay-by-mile system.,उनकी राज्य ने हाल ही में एक भुगतान प्रणाली का परीक्षण करने के लिए 500 कार पर ट्रैकिंग उपकरणों को रखा है।,उनके राज्य ने प्रति-मील भुगतान प्रणाली का परीक्षण करने के लिए हाल ही में 500 कारों में ट्रैकिंग डिवाइस लगाई है।
"""This works out as the most logical alternative over the long term,"" he said.","""यह लंबे समय के दौरान सबसे तार्किक विकल्प के रूप में काम करता है,"" उन्होंने कहा।","वे कहते हैं, ""दीर्घकाल में यह सबसे अधिक तर्कपूर्ण विकल्प के रूप में काम करेगा।"""
Wonks call it a mileage-based user fee.,इसे एक मील-आधारित उपयोगकर्ता शुल्क कहते हैं।,वॉन्क्स इसे माइलेज-आधारित उपयोगकर्ता शुल्क कहते हैं।
"It is no surprise that the idea appeals to urban liberals, as the taxes could be rigged to change driving patterns in ways that could help reduce congestion and greenhouse gases, for example.","यह कोई आश्‍चर्य की बात नहीं है कि शहरी उदारों को यह विचार आकर्षक है, क्योंकि कर को ऐसे तरीकों से बदलने के लिए विवश किया जा सकता है, जो पानी और गैस को कम करने में मदद कर सकते हैं, उदाहरण के लिए।","यह आश्चर्य की बात नहीं है कि यह विचार शहरी उदारवादियों को अच्छा लग रहा है, क्योंकि इससे, उदाहरण के लिए कार चलाने के तौर-तरीके में परिवर्तन करने के लिए करों में बदलाव किया जा सकता है, जो जाम कम करने तथा ग्रीनहाउस गैस कम करने में सहायता कर सकता है।"
California planners are looking to the system as they devise strategies to meet the goals laid out in the state's ambitious global warming laws.,कैलिफ़ोर्निया योजना प्रणाली की ओर देख रहे हैं क्योंकि वे राज्य के शासित वैश्विक तापमान में किए गए लक्ष्यों को पूरा करने की योजना बना रहे हैं।,कैलीफोर्निया के योजनाकार इस सिस्टम के लिए उत्सुक हैं जबकि वे राज्य के महात्वाकांक्षी ग्लोबल वार्मिंग कानूनों में निर्धारित लक्ष्य पूर्ण करने के लिए रणनीतियाँ विकसित कर रहे हैं।
